,rgn1_nm,r2,coef
weekday화요일14,제주특별자치도,0.559414765,-0.475807374
mean_fee14,제주특별자치도,0.559414765,0.002668279
(Intercept)16,충청북도,0.42154151,9.519493694
rider_cnt16,충청북도,0.42154151,-0.010738847
ord_cnt16,충청북도,0.42154151,0.000726552
weekday목요일16,충청북도,0.42154151,-0.93604722
weekday수요일16,충청북도,0.42154151,-0.215104743
weekday월요일16,충청북도,0.42154151,-0.183525422
weekday일요일16,충청북도,0.42154151,0.557555586
weekday토요일16,충청북도,0.42154151,0.299314425
weekday화요일16,충청북도,0.42154151,-0.388925261
mean_fee16,충청북도,0.42154151,0.003279759
