reg_date,hour_reg,day_of_reg,rain_group,holiday_yn,y_pred_Lasso,y_pred_LGBM,y_pred_RF,y_pred_avg_three,y_pred_avg_lgbm_rf,y_pred_avg_rf_la
2023-06-05,17,월요일,no,0,22.39614898662012,22.338265746851093,21.998359081069392,22.2442579381802,22.168312413960244,22.197254033844757
2023-06-05,18,월요일,no,0,31.618250033381663,27.595336786001965,26.967363070200545,28.726983296528058,27.281349928101257,29.292806551791102
2023-06-05,19,월요일,no,0,32.281049141938496,25.072058223883314,25.025473361080657,27.45952690896749,25.048765792481987,28.653261251509576
2023-06-05,20,월요일,no,0,24.695777257879904,21.895292505020986,22.067054760859307,22.886041507920066,21.98117363294015,23.381416009369605
2023-06-05,21,월요일,no,0,17.79162713353314,18.368319452838403,17.683939019290012,17.94796186855385,18.026129236064207,17.737783076411574
2023-06-05,22,월요일,no,0,12.838056522628241,14.017972015957904,13.223888130310803,13.35997222296565,13.620930073134353,13.030972326469522
2023-06-05,23,월요일,no,0,12.740630040685994,13.112424446365582,12.781066071768114,12.87804018627323,12.946745259066848,12.760848056227054
2023-06-11,9,일요일,weak,1,19.122996882826236,19.187320008411795,18.68525062649845,18.99852250591216,18.936285317455123,18.904123754662344
2023-06-11,10,일요일,weak,1,31.78972471076201,26.48938483293703,27.494703805676995,28.591271116458675,26.992044319307013,29.642214258219504
2023-06-11,11,일요일,weak,1,35.476004126556184,27.86895696045924,28.248141208953125,30.531034098656182,28.058549084706183,31.862072667754653
2023-06-11,12,일요일,weak,1,34.382769537335086,30.31944666995627,33.062968989616444,32.58839506563593,31.691207829786357,33.722869263475765
2023-06-11,13,일요일,weak,1,23.49362289665791,22.45584291450277,21.96272830647122,22.637398039210634,22.209285610486994,22.728175601564566
2023-06-11,14,일요일,weak,1,18.209099038531342,20.310267634829067,18.959115747855765,19.15949414040539,19.634691691342418,18.584107393193555
2023-06-11,15,일요일,weak,1,13.699181545309987,13.983030989826611,12.148140645778108,13.276784393638236,13.06558581780236,12.923661095544048
2023-06-11,16,일요일,weak,1,12.055093641808247,13.51757284489856,13.27295081235304,12.948539099686615,13.395261828625799,12.664022227080643
2023-06-11,17,일요일,weak,1,25.939578798051897,25.10325809133938,23.154989602346408,24.732608830579228,24.129123846842894,24.54728420019915
2023-06-11,18,일요일,weak,1,26.808304833882346,24.190148993337324,24.75794722835134,25.25213368519034,24.474048110844333,25.783126031116844
2023-06-11,19,일요일,weak,1,12.235026352570321,11.00485732164155,10.038586599205289,11.092823424472385,10.52172196042342,11.136806475887806
2023-06-11,20,일요일,weak,1,17.529453007825573,19.85095554133213,20.50611947051233,19.295509339890014,20.17853750592223,19.017786239168952
2023-06-11,21,일요일,weak,1,16.191207293693473,17.17678880541748,16.277701216579917,16.548565771896957,16.7272450109987,16.234454255136697
2023-06-11,22,일요일,weak,1,5.979020293045949,3.269397919293655,3.8381320443124327,4.362183418884013,3.553764981803044,4.908576168679191
2023-06-11,23,일요일,weak,1,11.450575306301687,10.887747578993325,10.484086622478777,10.940803169257931,10.685917100736052,10.967330964390232
2023-06-10,9,토요일,no,1,12.658073053132691,11.582843937872502,11.474202301603743,11.905039764202977,11.528523119738121,12.066137677368218
2023-06-10,10,토요일,no,1,19.42933529602537,20.414335886909907,20.8498680265973,20.23117973651086,20.6321019567536,20.139601661311335
2023-06-10,11,토요일,no,1,22.068357382548065,22.0449293371121,21.23380370538298,21.78236347501438,21.63936652124754,21.65108054396552
2023-06-10,12,토요일,no,1,30.560373642283977,23.087939474073664,24.460885694589614,26.036399603649084,23.77441258433164,27.510629668436795
2023-06-10,13,토요일,no,1,36.153142595713476,27.21702572990536,29.890343310008475,31.08683721187577,28.553684519956917,33.021742952860976
2023-06-10,14,토요일,no,1,30.700921462666408,24.833206124723414,24.619733751293357,26.717953779561057,24.726469938008385,27.660327606979884
2023-06-10,15,토요일,no,1,21.52485696950138,21.818551649275292,22.05597254545686,21.799793721411177,21.937262097366077,21.79041475747912
2023-06-10,16,토요일,no,1,35.007219237005685,29.29369317275853,27.81928631941847,30.70673290972756,28.556489746088502,31.413252778212076
2023-06-10,17,토요일,no,1,23.42207033236555,21.854359828270027,22.819852012701805,22.698760724445794,22.337105920485918,23.120961172533676
2023-06-10,18,토요일,no,1,28.411143803221435,26.337083096116228,28.016461140300883,27.588229346546182,27.176772118208554,28.21380247176116
2023-06-10,19,토요일,no,1,30.026860584532265,27.734613494632097,28.528411975432483,28.763295351532282,28.131512735032288,29.277636279982374
2023-06-10,20,토요일,no,1,31.242001062292196,25.82229381026695,28.850210811033016,28.638168561197386,27.336252310649982,30.046105936662606
2023-06-10,21,토요일,no,1,11.860599900932003,13.281363992304996,11.339071208994387,12.16034503407713,12.310217600649692,11.599835554963196
2023-06-10,22,토요일,no,1,6.54236619603617,3.398340105236188,3.737632235810081,4.559446179027479,3.5679861705231346,5.139999215923125
