"date","hour_reg","pick_rgn2_nm","order_cnt","day_of_reg","order_cnt_ratio","order_cnt_predict"
2023-05-22,9,"성북구",8312.75556989127,"월요일",0.01,83
2023-05-22,9,"중랑구",4732.83224984371,"월요일",0.01,47
2023-05-22,9,"강서구",10973.3709392671,"월요일",0.02,219
2023-05-22,9,"관악구",16539.2371440909,"월요일",0.02,331
2023-05-22,9,"구로구",6269.78151127029,"월요일",0.01,63
2023-05-22,9,"금천구",5269.51846058095,"월요일",0.01,53
2023-05-22,9,"동작구",8911.09447167186,"월요일",0.01,89
2023-05-22,9,"양천구",6822.97415420735,"월요일",0.01,68
2023-05-22,9,"영등포구",10893.336308577,"월요일",0.02,218
2023-05-22,9,"마포구",11392.0576144179,"월요일",0.02,228
2023-05-22,9,"서대문구",7390.28659949043,"월요일",0.01,74
2023-05-22,9,"용산구",5713.107714784,"월요일",0.02,114
2023-05-22,9,"은평구",6038.25164320516,"월요일",0.01,60
2023-05-22,9,"종로구",4530.78118753089,"월요일",0.02,91
2023-05-22,9,"중구",4492.58910932581,"월요일",0.02,90
2023-05-23,9,"강남구",21166.3751886241,"화요일",0.02,423
2023-05-23,9,"서초구",10013.8125090824,"화요일",0.02,200
2023-05-23,9,"강동구",5330.66197247545,"화요일",0.01,53
2023-05-23,9,"송파구",13342.8940191338,"화요일",0.01,133
2023-05-23,9,"강북구",3503.64006009899,"화요일",0.01,35
2023-05-23,9,"광진구",5564.19556535335,"화요일",0.01,56
2023-05-23,9,"노원구",5506.05595010732,"화요일",0.01,55
2023-05-23,9,"도봉구",2919.41399347735,"화요일",0.01,29
2023-05-23,9,"동대문구",6425.52488834491,"화요일",0.01,64
2023-05-23,9,"성동구",6487.09273878134,"화요일",0.01,65
2023-05-23,9,"성북구",7418.39755849813,"화요일",0.01,74
2023-05-23,9,"중랑구",4065.93706048482,"화요일",0.01,41
2023-05-23,9,"강서구",9574.22659574931,"화요일",0.02,191
2023-05-23,9,"관악구",14141.115349459,"화요일",0.02,283
2023-05-23,9,"구로구",5405.16184218262,"화요일",0.01,54
2023-05-23,9,"금천구",4504.75792580688,"화요일",0.01,45
2023-05-23,9,"동작구",7896.97435400947,"화요일",0.01,79
2023-05-23,9,"양천구",6161.66758132557,"화요일",0.01,62
2023-05-23,9,"영등포구",9608.2972470066,"화요일",0.01,96
2023-05-23,9,"마포구",10455.7217444847,"화요일",0.01,105
2023-05-23,9,"서대문구",6728.29567137384,"화요일",0.01,67
2023-05-23,9,"용산구",5377.36521138784,"화요일",0.02,108
2023-05-23,9,"은평구",5056.72658381479,"화요일",0.01,51
2023-05-23,9,"종로구",4389.71260522852,"화요일",0.01,44
2023-05-23,9,"중구",4549.70117950771,"화요일",0.01,45
2023-05-24,9,"강남구",23616.969441517,"수요일",0.02,472
2023-05-24,9,"서초구",11614.1089293149,"수요일",0.02,232
2023-05-24,9,"강동구",6143.66937578558,"수요일",0.01,61
2023-05-24,9,"송파구",15098.9011269648,"수요일",0.02,302
2023-05-24,9,"강북구",3977.37596268749,"수요일",0.01,40
2023-05-24,9,"광진구",6380.76686957945,"수요일",0.01,64
2023-05-24,9,"노원구",6238.63064160384,"수요일",0.01,62
2023-05-24,9,"도봉구",3393.63329773205,"수요일",0.01,34
2023-05-24,9,"동대문구",7298.27365888018,"수요일",0.01,73
2023-05-24,9,"성동구",7260.90000613204,"수요일",0.01,73
2023-05-24,9,"성북구",8320.82706251104,"수요일",0.01,83
2023-05-24,9,"중랑구",4452.0856977451,"수요일",0.01,45
2023-05-24,9,"강서구",10651.8978284911,"수요일",0.01,107
2023-05-24,9,"관악구",15623.0669183129,"수요일",0.01,156
2023-05-24,9,"구로구",6253.76294414202,"수요일",0.01,63
2023-05-24,9,"금천구",5145.91922823644,"수요일",0.01,51
2023-05-24,9,"동작구",8608.9579059339,"수요일",0.01,86
2023-05-24,9,"양천구",6950.03928280998,"수요일",0.01,70
2023-05-24,9,"영등포구",10945.5735686853,"수요일",0.02,219
2023-05-24,9,"마포구",11773.072060899,"수요일",0.01,118
2023-05-24,9,"서대문구",7602.57859712621,"수요일",0.01,76
2023-05-24,9,"용산구",5963.39808299674,"수요일",0.01,60
2023-05-24,9,"은평구",5884.10040665323,"수요일",0.01,59
2023-05-24,9,"종로구",4936.3524401233,"수요일",0.01,49
2023-05-24,9,"중구",5004.80369423527,"수요일",0.02,100
2023-05-25,9,"강남구",21828.9452983937,"목요일",0.02,437
2023-05-25,9,"서초구",10730.2056869836,"목요일",0.02,215
2023-05-25,9,"강동구",5992.36199441231,"목요일",0.01,60
2023-05-25,9,"송파구",14632.2396396019,"목요일",0.02,293
2023-05-25,9,"강북구",3864.13891259108,"목요일",0.01,39
2023-05-25,9,"광진구",5981.219301315,"목요일",0.01,60
2023-05-25,9,"노원구",6058.99904852254,"목요일",0.01,61
2023-05-25,9,"도봉구",3296.46061118971,"목요일",0.01,33
2023-05-25,9,"동대문구",6950.5546796355,"목요일",0.01,70
2023-05-25,9,"성동구",6876.51197807492,"목요일",0.01,69
2023-05-25,9,"성북구",8018.73349766135,"목요일",0.01,80
2023-05-25,9,"중랑구",4484.54369598165,"목요일",0.01,45
2023-05-25,9,"강서구",10418.9980266465,"목요일",0.01,104
2023-05-25,9,"관악구",14591.477773246,"목요일",0.01,146
2023-05-25,9,"구로구",6050.55720247264,"목요일",0.01,61
2023-05-25,9,"금천구",4789.14469988386,"목요일",0.01,48
2023-05-25,9,"동작구",8357.50669335445,"목요일",0.01,84
2023-05-25,9,"양천구",6857.60280625255,"목요일",0.01,69
2023-05-25,9,"영등포구",10350.6300973876,"목요일",0.01,104
2023-05-25,9,"마포구",11142.4796164644,"목요일",0.01,111
2023-05-25,9,"서대문구",7159.99499025315,"목요일",0.01,72
2023-05-25,9,"용산구",5671.60669671682,"목요일",0.01,57
2023-05-25,9,"은평구",5854.28197401947,"목요일",0.01,59
2023-05-25,9,"종로구",4667.34552074759,"목요일",0.01,47
2023-05-25,9,"중구",4752.29956778497,"목요일",0.01,48
2023-05-26,9,"강남구",21756.4446036599,"금요일",0.02,435
2023-05-26,9,"서초구",11340.3297392417,"금요일",0.02,227
2023-05-26,9,"강동구",7318.45790565001,"금요일",0.01,73
2023-05-26,9,"송파구",17243.464350772,"금요일",0.02,345
2023-05-26,9,"강북구",4698.41178327394,"금요일",0.01,47
2023-05-26,9,"광진구",7107.0275591654,"금요일",0.01,71
2023-05-26,9,"노원구",7652.97476757937,"금요일",0.01,77
2023-05-26,9,"도봉구",4150.41927680842,"금요일",0.01,42
2023-05-26,9,"동대문구",8245.14217883049,"금요일",0.01,82
2023-05-26,9,"성동구",7639.92527909217,"금요일",0.01,76
