"Group.1","Group.2","x"
"19","성북구",43.0749555882
"20","성북구",65.9033135942527
"21","성북구",55.6265044724631
"22","성북구",45.8500079537163
"23","성북구",44.3998621314634
"24","성북구",48.0662773769653
"25","성북구",35.0458756232424
"9","송파구",15.8801446807193
"10","송파구",23.2640245942304
"11","송파구",49.0458078397343
"12","송파구",40.406364774412
"13","송파구",18.0495696117068
"14","송파구",22.0662296740577
"15","송파구",32.050839261562
"16","송파구",34.967249638854
"17","송파구",66.5694144584429
"18","송파구",77.1928114024371
"19","송파구",112.245894937945
"20","송파구",43.1404049482738
"21","송파구",60.0761946429443
"22","송파구",55.7024924515321
"23","송파구",32.3486847845504
"24","송파구",47.1283704351252
"25","송파구",15.3272454217189
"9","양천구",20.8038192221945
"10","양천구",18.8976669948199
"11","양천구",25.0979803964573
"12","양천구",30.5833056554962
"13","양천구",22.1462339782906
"14","양천구",34.521358123675
"15","양천구",30.9772654392427
"16","양천구",38.3285790913565
"17","양천구",12.1480539466634
"18","양천구",26.2401910082024
"19","양천구",23.6431451360856
"20","양천구",45.759064267447
"21","양천구",29.1313017204798
"22","양천구",46.4441400067819
"23","양천구",53.0919394787654
"24","양천구",33.9241511087243
"25","양천구",21.5887552210167
"9","영등포구",22.4395632122075
"10","영등포구",13.114540333212
"11","영등포구",60.2007692347466
"12","영등포구",36.2803124471012
"13","영등포구",17.9235627948273
"14","영등포구",43.7599093799866
"15","영등포구",28.3567070043791
"16","영등포구",30.5983248234749
"17","영등포구",46.6779668382397
"18","영등포구",78.0937741496812
"19","영등포구",96.7125799073719
"20","영등포구",31.468767475923
"21","영등포구",29.9982903406372
"22","영등포구",31.1506990583761
"23","영등포구",46.9946994826942
"24","영등포구",39.9102992661466
"25","영등포구",30.8421761699772
"9","용산구",20.0624440899307
"10","용산구",21.9061232673452
"11","용산구",20.5492655176429
"12","용산구",16.3744173855601
"13","용산구",11.5343998335981
"14","용산구",18.5029532490732
"15","용산구",26.6369307585293
"16","용산구",24.5029472502993
"17","용산구",6.80900172766196
"18","용산구",21.0033349175235
"19","용산구",24.0254456270602
"20","용산구",35.6037897286716
"21","용산구",31.5373000228014
"22","용산구",32.236777491945
"23","용산구",32.6305791939701
"24","용산구",37.1039521929098
"25","용산구",26.5336366138066
"9","은평구",26.2553005155678
"10","은평구",22.3977762139254
"11","은평구",15.171818568476
"12","은평구",19.3348106211286
"13","은평구",17.5119260687161
"14","은평구",39.2884456828835
"15","은평구",27.1111615766423
"16","은평구",42.6478476241912
"17","은평구",18.2996803712274
"18","은평구",36.5038427263911
"19","은평구",36.1634116051873
"20","은평구",68.7677100273804
"21","은평구",44.6902967796982
"22","은평구",42.2675650044583
"23","은평구",44.921029477321
"24","은평구",46.238262796634
"25","은평구",25.7321577670652
"9","종로구",25.8190346671799
"10","종로구",18.9401535615803
"11","종로구",14.6394730931565
"12","종로구",8.84653414716813
"13","종로구",16.8814268154265
"14","종로구",16.8667574444145
"15","종로구",15.2595850925468
"16","종로구",25.8878162298486
"17","종로구",15.6242661965851
"18","종로구",10.4647266278609
"19","종로구",40.8764185895022
"20","종로구",40.1331869098841
"21","종로구",27.7579669612359
"22","종로구",35.4690739365944
"23","종로구",42.2148093137979
"24","종로구",23.614487434121
"25","종로구",46.7189582306388
"9","중구",25.5413930683583
"10","중구",23.8542979888249
"11","중구",13.3871986276739
"12","중구",13.2332939344282
"13","중구",15.2553350844363
"14","중구",19.0726945410787
"15","중구",16.4135749544907
"16","중구",22.0024085409461
"17","중구",25.3025694485664
"18","중구",10.5874520436945
"19","중구",32.2611283071782
"20","중구",30.3564947266436
"21","중구",26.6368159955492
"22","중구",34.2394337333359
"23","중구",41.0424768339165
"24","중구",25.9805178489453
"25","중구",31.3087916978456
"9","중랑구",26.6784063940832
"10","중랑구",20.7497151466564
"11","중랑구",32.4355489584187
"12","중랑구",23.4137803399287
"13","중랑구",28.9457925330454
"14","중랑구",45.099689376938
"15","중랑구",29.3680675744235
"16","중랑구",39.7996652295218
"17","중랑구",37.7177245177021
"18","중랑구",39.5778816673694
"19","중랑구",38.4925019225357
"20","중랑구",53.5359995008437
"21","중랑구",52.5273095660826
"22","중랑구",43.1322580859053
"23","중랑구",42.7959688916221
"24","중랑구",37.9255739547575
"25","중랑구",31.8587669208839
