"not_rain_all_predict","test_data_all_not.reg_date","test_data_all_not.hour_reg","test_data_all_not.pick_rgn2_nm"
82.0889347240474,2023-05-03,"14","강동구"
67.3036041296977,2023-05-03,"14","강북구"
153.668103663303,2023-05-03,"14","강서구"
213.644365277482,2023-05-03,"14","관악구"
97.9364440434074,2023-05-03,"14","광진구"
73.9188303868486,2023-05-03,"14","구로구"
63.3380903506692,2023-05-03,"14","금천구"
105.891872699558,2023-05-03,"14","노원구"
40.5371714239134,2023-05-03,"14","도봉구"
103.10455447311,2023-05-03,"14","동대문구"
90.5415485426983,2023-05-03,"14","동작구"
187.996680512754,2023-05-03,"14","마포구"
90.7574605470159,2023-05-03,"14","서대문구"
143.756611807562,2023-05-03,"14","서초구"
94.2975386489311,2023-05-03,"14","성동구"
117.688702557241,2023-05-03,"14","성북구"
216.781498186993,2023-05-03,"14","송파구"
103.492960377948,2023-05-03,"14","양천구"
147.093423037583,2023-05-03,"14","영등포구"
75.1082199206337,2023-05-03,"14","용산구"
79.4871156000083,2023-05-03,"14","은평구"
56.3534180554002,2023-05-03,"14","종로구"
50.1848882975214,2023-05-03,"14","중구"
60.4160342100625,2023-05-03,"14","중랑구"
79.4876572152128,2023-05-03,"15","강동구"
62.000174290499,2023-05-03,"15","강북구"
143.982003868464,2023-05-03,"15","강서구"
212.236048790726,2023-05-03,"15","관악구"
97.8402567872928,2023-05-03,"15","광진구"
84.0914975171194,2023-05-03,"15","구로구"
57.0447970120529,2023-05-03,"15","금천구"
111.565331352679,2023-05-03,"15","노원구"
38.2671937703421,2023-05-03,"15","도봉구"
94.4828863540715,2023-05-03,"15","동대문구"
81.4742035863567,2023-05-03,"15","동작구"
177.083730515102,2023-05-03,"15","마포구"
92.4533090179953,2023-05-03,"15","서대문구"
129.490907834657,2023-05-03,"15","서초구"
80.5725872780253,2023-05-03,"15","성동구"
120.092639875378,2023-05-03,"15","성북구"
218.535416578153,2023-05-03,"15","송파구"
104.633631190177,2023-05-03,"15","양천구"
129.753990077466,2023-05-03,"15","영등포구"
73.8639327160516,2023-05-03,"15","용산구"
83.4602018349215,2023-05-03,"15","은평구"
47.7636433181378,2023-05-03,"15","종로구"
47.8040478289172,2023-05-03,"15","중구"
60.0188930579641,2023-05-03,"15","중랑구"
110.672410284051,2023-05-03,"16","강동구"
81.6888473377843,2023-05-03,"16","강북구"
190.470616010044,2023-05-03,"16","강서구"
260.370387290547,2023-05-03,"16","관악구"
117.318169421044,2023-05-03,"16","광진구"
99.7523013121352,2023-05-03,"16","구로구"
72.3674949139414,2023-05-03,"16","금천구"
140.688880597724,2023-05-03,"16","노원구"
50.7931438356974,2023-05-03,"16","도봉구"
115.329668632496,2023-05-03,"16","동대문구"
112.838374765972,2023-05-03,"16","동작구"
216.941686856381,2023-05-03,"16","마포구"
138.587317169364,2023-05-03,"16","서대문구"
175.76576914679,2023-05-03,"16","서초구"
100.350741693559,2023-05-03,"16","성동구"
147.397140997274,2023-05-03,"16","성북구"
273.800840157177,2023-05-03,"16","송파구"
144.196063635605,2023-05-03,"16","양천구"
176.41534062906,2023-05-03,"16","영등포구"
87.7845386668527,2023-05-03,"16","용산구"
98.8008994442705,2023-05-03,"16","은평구"
68.0143354775585,2023-05-03,"16","종로구"
64.7196893703133,2023-05-03,"16","중구"
76.1681951392107,2023-05-03,"16","중랑구"
177.586054044613,2023-05-03,"17","강동구"
132.444902131536,2023-05-03,"17","강북구"
315.754824398489,2023-05-03,"17","강서구"
409.972311698639,2023-05-03,"17","관악구"
179.441822071272,2023-05-03,"17","광진구"
180.098625507548,2023-05-03,"17","구로구"
128.875792908196,2023-05-03,"17","금천구"
216.979401682906,2023-05-03,"17","노원구"
96.4912978306533,2023-05-03,"17","도봉구"
200.865153849007,2023-05-03,"17","동대문구"
194.391439127495,2023-05-03,"17","동작구"
369.920782372314,2023-05-03,"17","마포구"
238.542759218339,2023-05-03,"17","서대문구"
295.911790359688,2023-05-03,"17","서초구"
203.683957018791,2023-05-03,"17","성동구"
262.136445964289,2023-05-03,"17","성북구"
440.969845630216,2023-05-03,"17","송파구"
225.995567865029,2023-05-03,"17","양천구"
313.274750678976,2023-05-03,"17","영등포구"
159.530812700935,2023-05-03,"17","용산구"
169.860018546595,2023-05-03,"17","은평구"
122.16618974095,2023-05-03,"17","종로구"
120.886811171926,2023-05-03,"17","중구"
