"real_data.reg_date","real_data.pick_rgn2_nm","real_data.hour_reg","fit","lwr","upr"
2023-05-08,"강남구","12",754.546191019546,719.855771611119,789.236610427973
2023-05-08,"강동구","12",188.565877865773,153.872274519096,223.25948121245
2023-05-08,"강북구","12",138.668707349331,103.978354648293,173.359060050369
2023-05-08,"강서구","12",337.018551116515,302.313413506805,371.723688726224
2023-05-08,"관악구","12",458.891012644865,424.182494744567,493.599530545163
2023-05-08,"광진구","12",198.649587852186,163.957249930739,233.341925773634
2023-05-08,"구로구","12",188.960179595208,154.267197030275,223.653162160141
2023-05-08,"금천구","12",152.431404278057,117.740974458379,187.121834097735
2023-05-08,"노원구","12",223.266603722994,188.570461579922,257.962745866065
2023-05-08,"도봉구","12",97.1047519993627,62.4159176714431,131.793586327282
2023-05-08,"동대문구","12",223.943937401191,189.253242758725,258.634632043656
