"reg_date","rider_cnt","day_of_reg","rain_c","snow_c","is_rain","is_holiday","rider_cnt_w_1","rider_cnt_w_2","rider_cnt_w_3","rider_cnt_w_4","order_cnt_w_1"
2023-01-11,16323,"수요일",0,0,0,0,16195,15574,15793,15532,216549
2023-01-12,16434,"목요일",0,0,0,0,16608,15694,16073,16007,220219
2023-01-13,15787,"금요일",37.3,0,1,0,17547,15899,14747,16811,231338
2023-01-14,16180,"토요일",1.6,0,1,0,17396,18304,16013,17321,288338
2023-01-15,16363,"일요일",3.2,0.6,1,0,17935,16544,15162,16624,315212
2023-01-16,15820,"월요일",0,0.3,1,0,15970,16349,15550,16726,204970
2023-01-17,16107,"화요일",0,0,0,0,16641,16670,15622,15883,209988
2023-01-18,15620,"수요일",0,0,0,0,16323,16195,15574,15793,214248
2023-01-19,16071,"목요일",1,0,1,0,14693,12934,15932,15947,194099
2023-01-20,16733,"금요일",0,0,0,0,16790,17449,19098,16953,248152
2023-01-21,15159,"토요일",0,0,0,1,17360,17963,17550,17468,285613
2023-01-22,11990,"일요일",0,0,0,1,17586,16296,17643,17259,295166
2023-01-23,14997,"월요일",0,0,0,1,16277,15991,16053,15682,208390
2023-01-24,15281,"화요일",0,0,0,1,16107,16641,16670,15622,202241
2023-01-25,14530,"수요일",0,0,0,0,15620,16323,16195,15574,209185
2023-01-26,11888,"목요일",0.8,4.5,1,0,16071,14693,12934,15932,215857
2023-01-27,16064,"금요일",0,1.7,1,0,15787,17547,15899,14747,233557
2023-01-28,17499,"토요일",0,0,0,0,15159,17360,17963,17550,226933
2023-01-29,17111,"일요일",0,0,0,0,11990,17586,16296,17643,181432
2023-01-30,15497,"월요일",0,0,0,0,14997,16277,15991,16053,236477
2023-01-31,15717,"화요일",0,0,0,0,15281,16107,16641,16670,250498
2023-02-01,15858,"수요일",0,0,0,0,14530,15620,16323,16195,203473
2023-02-02,16458,"목요일",0,0,0,0,16434,16608,15694,16073,212596
2023-02-03,17680,"금요일",0,0,0,0,16733,16790,17449,19098,245354
2023-02-04,18025,"토요일",0,0,0,0,17499,15159,17360,17963,276283
2023-02-05,17426,"일요일",0,0,0,0,17111,11990,17586,16296,277907
2023-02-06,15786,"월요일",0,0,0,0,15497,14997,16277,15991,195783
2023-02-07,16229,"화요일",0,0,0,0,15717,15281,16107,16641,198692
2023-02-08,15867,"수요일",0,0,0,0,15858,14530,15620,16323,213887
2023-02-09,16228,"목요일",0,0,0,0,16458,16434,16608,15694,218215
2023-02-10,17275,"금요일",0.6,0,1,0,16064,15787,17547,15899,226704
2023-02-11,17945,"토요일",0,0,0,0,18025,17499,15159,17360,279833
2023-02-12,17440,"일요일",0,0,0,0,17426,17111,11990,17586,278727
2023-02-13,15830,"월요일",0,0,0,0,15786,15497,14997,16277,194381
2023-02-14,16158,"화요일",0,0,0,0,16229,15717,15281,16107,197318
2023-02-15,15740,"수요일",0,0,0,0,15867,15858,14530,15620,207332
2023-02-16,16018,"목요일",0,0,0,0,16228,16458,16434,16608,209354
2023-02-17,17445,"금요일",0,0,0,0,17680,16733,16790,17449,243398
2023-02-18,17717,"토요일",0,0,0,0,17945,18025,17499,15159,282234
2023-02-19,17126,"일요일",0.4,0,1,0,16363,17935,16544,15162,275904
2023-02-20,15599,"월요일",0,0,0,0,15830,15786,15497,14997,196721
2023-02-21,16138,"화요일",0,0,0,0,16158,16229,15717,15281,201802
2023-02-22,15784,"수요일",0,0,0,0,15740,15867,15858,14530,201616
2023-02-23,16341,"목요일",0,0,0,0,16018,16228,16458,16434,210548
2023-02-24,17312,"금요일",0,0,0,0,17445,17680,16733,16790,241588
2023-02-25,17595,"토요일",0,0,0,0,17717,17945,18025,17499,286905
2023-02-26,17304,"일요일",0,0,0,0,17440,17426,17111,11990,292239
2023-02-27,15760,"월요일",0,0,0,0,15599,15830,15786,15497,203653
2023-02-28,16617,"화요일",0,0,0,0,16138,16158,16229,15717,211289
2023-03-01,17675,"수요일",0,0,0,1,15784,15740,15867,15858,214346
2023-03-02,15828,"목요일",0,0,0,0,16341,16018,16228,16458,216835
2023-03-03,17219,"금요일",0,0,0,0,17312,17445,17680,16733,245166
2023-03-04,17932,"토요일",0,0,0,0,17595,17717,17945,18025,286705
2023-03-05,17489,"일요일",0,0,0,0,17304,17440,17426,17111,294846
2023-03-06,15755,"월요일",0,0,0,0,15760,15599,15830,15786,207158
2023-03-07,16035,"화요일",0,0,0,0,16617,16138,16158,16229,230618
2023-03-08,15345,"수요일",1.2,0,1,0,15333,14085,15742,16030,215469
2023-03-09,16382,"목요일",3.7,0,1,0,11888,16071,14693,12934,183886
2023-03-10,19256,"금요일",0,0,0,0,17219,17312,17445,17680,228728
2023-03-11,17942,"토요일",0,0,0,0,17932,17595,17717,17945,280332
2023-03-12,17141,"일요일",5.6,0,1,0,17126,16363,17935,16544,289069
2023-03-13,15534,"월요일",0,0,0,0,15755,15760,15599,15830,188243
2023-03-14,16167,"화요일",0,0,0,0,16035,16617,16138,16158,186431
2023-03-15,15835,"수요일",0,0,0,0,17675,15784,15740,15867,300137
2023-03-16,15913,"목요일",0,0,0,0,15828,16341,16018,16228,208853
2023-03-17,17260,"금요일",0,0,0,0,19256,17219,17312,17445,263629
2023-03-18,17617,"토요일",0,0,0,0,17942,17932,17595,17717,280171
2023-03-19,17186,"일요일",0,0,0,0,17489,17304,17440,17426,283340
2023-03-20,15263,"월요일",0,0,0,0,15534,15755,15760,15599,187351
2023-03-21,15786,"화요일",0,0,0,0,16167,16035,16617,16138,191662
2023-03-22,15372,"수요일",0,0,0,0,15835,17675,15784,15740,196884
2023-03-23,15742,"목요일",0,0,0,0,15913,15828,16341,16018,199746
2023-03-24,17245,"금요일",0,0,0,0,17260,19256,17219,17312,226103
2023-03-25,17162,"토요일",0,0,0,0,17617,17942,17932,17595,273939
2023-03-26,16993,"일요일",0,0,0,0,17186,17489,17304,17440,276717
2023-03-27,14830,"월요일",0,0,0,0,15263,15534,15755,15760,179381
2023-03-28,15530,"화요일",0,0,0,0,15786,16167,16035,16617,180358
2023-03-29,15010,"수요일",0,0,0,0,15372,15835,17675,15784,186826
2023-03-30,15355,"목요일",0,0,0,0,15742,15913,15828,16341,196922
2023-03-31,16228,"금요일",0,0,0,0,17245,17260,19256,17219,227871
2023-04-01,16700,"토요일",0,0,0,0,17162,17617,17942,17932,272959
2023-04-02,16378,"일요일",0,0,0,0,16993,17186,17489,17304,284094
2023-04-03,15015,"월요일",0,0,0,0,14830,15263,15534,15755,177710
2023-04-04,15486,"화요일",6.9,0,1,0,16290,16953,15623,15967,207072
2023-04-05,13699,"수요일",50.3,0,1,0,15345,15333,14085,15742,193084
2023-04-06,14584,"목요일",2.7,0,1,0,16382,11888,16071,14693,218484
2023-04-07,16329,"금요일",0,0,0,0,16228,17245,17260,19256,218328
2023-04-08,16695,"토요일",0,0,0,0,16700,17162,17617,17942,272494
2023-04-09,16439,"일요일",0,0,0,0,16378,16993,17186,17489,271897
2023-04-10,15008,"월요일",0,0,0,0,15015,14830,15263,15534,184501
